Key,Desc,Default,English
_Title,Custom 4,,
_Author,CHLBC,,
(?) or (-) will bring up a menu with all the controls. Open and close this menu to proceed. Optionally you can press (Esc) then click 'Help Menu'.,,"<?> or </> will bring up a menu with all the controls.
Open and close this menu to proceed.
Optionally you can press <Esc> then click 'Help Menu'.","<?> or </> will bring up a menu with all the controls.
Open and close this menu to proceed.
Optionally you can press <Esc> then click 'Help Menu'."
(A) on an object to bring it up.,,<A> on an object to bring it up.,<A> on an object to bring it up.
(Back) will bring up a menu with all the controls. Open and close the menu by hitting (Back) Twice.,,"<Back> will bring up a menu with all the controls.
Open and close the menu by hitting <Back> Twice.","<Back> will bring up a menu with all the controls.
Open and close the menu by hitting <Back> Twice."
(Click) Reset,,(Click) Reset,(Click) Reset
(Click) Zoom,,(Click) Zoom,(Click) Zoom
(Left Click) and hold your mouse on the deck.,,<Left Click> and hold your mouse on the deck.,<Left Click> and hold your mouse on the deck.
(Left Click) and quickly drag away from the deck.,,<Left Click> and quickly drag away from the deck.,<Left Click> and quickly drag away from the deck.
(Optional) An additional AssetBundle that can be used for shared effects between multiple objects to avoid duplication in memory. Great for sound and particle effects.,,(Optional) An additional AssetBundle that can be used for shared effects between multiple objects to avoid duplication in memory. Great for sound and particle effects.,(Optional) An additional AssetBundle that can be used for shared effects between multiple objects to avoid duplication in memory. Great for sound and particle effects.
(Optional) Back image can be left blank.,,(Optional) Back image can be left blank.,(Optional) Back image can be left blank.
(Optional) Custom model will by default generate a box collider for your model. Only use if a more accurate collider is needed due to performance costs. Supports compound colliders if there are multiple meshes (convex only). (255 triangles and triangulated.,,(Optional) Custom model will by default generate a box collider for your model. Only use if a more accurate collider is needed due to performance costs. Supports compound colliders if there are multiple meshes (convex only). <255 triangles and triangulated.,(Optional) Custom model will by default generate a box collider for your model. Only use if a more accurate collider is needed due to performance costs. Supports compound colliders if there are multiple meshes (convex only). <255 triangles and triangulated.
(Optional) Game Types:,,(Optional) Game Types:,(Optional) Game Types:
(Optional) Number of Players:,,(Optional) Number of Players:,(Optional) Number of Players:
"(Optional) Only used if mesh collider is supplied. Non-convex collision only works on locked objects, but allows colliders with holes (ex, Chinese Checker Board). If you need a non-convex collider on a moving object use multiple meshes on your supplied collider with this setting off.",,"(Optional) Only used if mesh collider is supplied. Non-convex collision only works on locked objects, but allows colliders with holes (ex, Chinese Checker Board). If you need a non-convex collider on a moving object use multiple meshes on your supplied collider with this setting off.","(Optional) Only used if mesh collider is supplied. Non-convex collision only works on locked objects, but allows colliders with holes (ex, Chinese Checker Board). If you need a non-convex collider on a moving object use multiple meshes on your supplied collider with this setting off."
"(Optional) Upload the diffuse-image texture for your model to a web host, then copy paste the direct link here.",,"(Optional) Upload the diffuse/image texture for your model to a web host, then copy paste the direct link here.","(Optional) Upload the diffuse/image texture for your model to a web host, then copy paste the direct link here."
