Key,Desc,Default,Chinese (Traditional)
_Title,繁體中文（台灣）,,
_Author,CHLBC,,
(?) or (-) will bring up a menu with all the controls. Open and close this menu to proceed. Optionally you can press (Esc) then click 'Help Menu'.,,"<?> or </> will bring up a menu with all the controls.
Open and close this menu to proceed.
Optionally you can press <Esc> then click 'Help Menu'.","＜？＞或＜/＞將彈出選單與所有的控制項。
開啟和關閉該選單進行。
您也可以選擇按＜Esc＞然後單擊「幫助選單」。"
(A) on an object to bring it up.,,<A> on an object to bring it up.,在物件上按下＜A＞拿取。
(Back) will bring up a menu with all the controls. Open and close the menu by hitting (Back) Twice.,,"<Back> will bring up a menu with all the controls.
Open and close the menu by hitting <Back> Twice.","＜Back＞將開啟可操控全域的選單。
請連按＜Back＞兩次以開啟及關閉選單。"
(Click) Reset,,(Click) Reset,（點擊）重設
(Click) Zoom,,(Click) Zoom,（點擊）縮放
(Left Click) and hold your mouse on the deck.,,<Left Click> and hold your mouse on the deck.,點擊＜滑鼠左鍵＞並長按牌堆。
(Left Click) and quickly drag away from the deck.,,<Left Click> and quickly drag away from the deck.,點擊＜滑鼠左鍵＞並快速從牌堆中拖取。
(Optional) An additional AssetBundle that can be used for shared effects between multiple objects to avoid duplication in memory. Great for sound and particle effects.,,(Optional) An additional AssetBundle that can be used for shared effects between multiple objects to avoid duplication in memory. Great for sound and particle effects.,（可選）額外的 AssetBundle 可用於多物件間的同享效果並避免重複的記憶體使用。非常適合音效及粒子效果。
(Optional) Back image can be left blank.,,(Optional) Back image can be left blank.,（可選）背景圖可以留為空白。
(Optional) Custom model will by default generate a box collider for your model. Only use if a more accurate collider is needed due to performance costs. Supports compound colliders if there are multiple meshes (convex only). (255 triangles and triangulate,(Optional) Custom model will by default generate a box collider for your model. Only use if a more accurate collider is needed due to performance costs. Supports compound colliders if there are multiple meshes (convex only). <255 triangles and triangulated.,,
(Optional) Custom model will by default generate a box collider for your model. Only use if a more accurate collider is needed due to performance costs. Supports compound colliders if there are multiple meshes (convex only). (255 triangles and triangulated.,,(Optional) Custom model will by default generate a box collider for your model. Only use if a more accurate collider is needed due to performance costs. Supports compound colliders if there are multiple meshes (convex only). <255 triangles and triangulated.,（可選）自訂模型將預設生成一個盒型碰撞體。只會因效能消耗而需要多於一個精確碰撞體時啟用。支援小於 255 三角面多網格的組合碰撞體（僅限凸狀）。
(Optional) Game Types:,,(Optional) Game Types:,（可選）遊戲類型：
(Optional) Number of Players:,,(Optional) Number of Players:,（可選）玩家人數
"(Optional) Only used if mesh collider is supplied. Non-convex collision only works on locked objects, but allows colliders with holes (ex, Chinese Checker Board). If you need a non-convex collider on a moving object use multiple meshes on your supplied co","(Optional) Only used if mesh collider is supplied. Non-convex collision only works on locked objects, but allows colliders with holes (ex, Chinese Checker Board). If you need a non-convex collider on a moving object use multiple meshes on your supplied collider with this setting off.",,
"(Optional) Only used if mesh collider is supplied. Non-convex collision only works on locked objects, but allows colliders with holes (ex, Chinese Checker Board). If you need a non-convex collider on a moving object use multiple meshes on your supplied collider with this setting off.",,"(Optional) Only used if mesh collider is supplied. Non-convex collision only works on locked objects, but allows colliders with holes (ex, Chinese Checker Board). If you need a non-convex collider on a moving object use multiple meshes on your supplied collider with this setting off.",（可選）只在有網格碰撞體時使用。非凸碰撞僅適用於鎖定的物件，但允許孔洞碰撞體（例如：中國跳棋棋盤）。如果您需要在移動物件上使用非凸碰撞，請在碰撞體上使用多個網格並停用此設定。
"(Optional) Upload the diffuse-image texture for your model to a web host, then copy paste the direct link here.",,"(Optional) Upload the diffuse/image texture for your model to a web host, then copy paste the direct link here.",（可選）上傳模型的漫反射或圖片紋理至網頁代管，然後將連結在此處複製貼上。
"(Optional) Upload the normal-bump texture for your model to a web host, then copy paste the direct link here.",,"(Optional) Upload the normal/bump texture for your model to a web host, then copy paste the direct link here.",（可選）上傳模型的一般或凹凸貼圖至網頁代管，然後將連結在此處複製貼上。
"(Optional) Upload your image to a web host, then copy paste the direct link here.",,"(Optional) Upload your image to a web host, then copy paste the direct link here.",（可選）上傳圖片至網頁代管，然後將連結在此處複製貼上。
(Optional) Workshop Thumbnail URL:,,(Optional) Workshop Thumbnail Url:,（可選）工作坊縮圖連結：
(Right Bumper) and hold your pointer on the deck.,,<Right Bumper> and hold your pointer on the deck.,按下＜RB＞並將游標置於牌堆上。
(Right Bumper) and quickly drag away from the deck.,,<Right Bumper> and quickly drag away from the deck.,按下＜RB＞並快速從牌堆中拖取。
(Right Click) on an object to bring it up.,,<Right Click> on an object to bring it up.,在物件上點擊＜滑鼠右鍵＞以開啟選單。
(Root Folder),,<Root Folder>,<根目錄>
({0}) and hold your hand on the deck.,,<{0}> and hold your hand on the deck.,＜{0}＞並在牌堆上長按。
({0}) and quickly drag away from the deck.,,<{0}> and quickly drag away from the deck.,＜{0}＞並快速從牌堆中拖取。
10 digit number found in the URL of your mod on the Workshop,,10 digit number found in the URL of your mod on the Workshop,工作坊模組網址連結中的 10 位數字
1ST PERSON CAMERA,,1St Person Camera,第一人稱視角
1st Person,,1st Person,第一人稱
2D,,2D,2D
"2D Art, UI, DLCs & PR",,"2D art, UI, DLCs",2D 繪畫、介面、DLC
2D Pointer,,2D Pointer,2D 游標
2D or 3D,,2D or 3D,2D 或 3D
2d3dlong,,"When in 2D measurements will be flattened onto the horizontal plane.  

When in 3D height will be incorporated into the measurement.","2D 中測量水平面上兩點的直線距離。

3D 中測量立體空間的直線距離。"
3D,,3D,3D
3D Pointer,,3D Pointer,3D 游標
3D Prop Art,,3D Prop Art,3D 道具美術
3RD-TOP DOWN CAMERA,,3RD/Top Down Camera,第三人稱／俯視視角
3rd Person,,3rd Person,第三人稱
ADD AUDIO,,ADD AUDIO,新增音訊
ADVANCED,,Advanced,進階
ALL SERVERS,,All Servers,所有伺服器
ALL TAGS,,All Tags,所有標籤
ALT Zoom and Hidden Areas do not work on it.,,ALT Zoom and Hidden Areas do not work on it.,Alt 鍵縮放及隱藏區對此不可用。
APPLY,,Apply,套用
Abstract Games,,Abstract Games,抽象策略遊戲
Action,,Action,動作
Active Tags Displayed Here!,,Active Tags Displayed Here!,啟用在這裡顯示標籤！
Add Custom Tag:,,Add Custom Tag:,新增自訂標籤：
Add New,,Add New,新增
Add Tag:,,Add Tag:,新增標籤：
Add a tag to the selected components.,,Add a tag to the selected components.,新增標籤至已選取的配件。
Additive Load,,Additive Load,額外載入
Adds soft shadows to the scene for a greater sense of depth. Costly performance.,,Adds soft shadows to the scene for a greater sense of depth. Costly performance.,在場景中增加柔和陰影以增加景深效果。極其消耗效能。
Admin,,Admin,管理者
Advanced Mode,,Advanced Mode,進階模式
Advanced Options,,Advanced Options,進階選項
Align Zoomed Object,,Align Zoomed Object,對準縮放的物件
All,,All,全部
All Commands,,All Commands,所有指令
All actions will be executed on all highlighted objects.,,All actions will be executed on all highlighted objects.,將在所有已標示的物件上執行所有動作。
Allow Swapping,,Allow Swapping,允許交換
